iter	Passed	Remaining
868	5971018	900119
869	5979387	893471
870	5988421	886918
871	5996327	880194
872	6004623	873524
873	6013308	866907
874	6021828	860261
875	6030480	853629
876	6038919	846963
877	6047612	840328
878	6055312	833552
879	6063729	826872
880	6072070	820177
881	6080427	813481
882	6088618	806759
883	6096761	800027
884	6104939	793297
885	6112805	786523
886	6121147	779807
887	6129499	773090
888	6137599	766336
889	6145930	759609
890	6154964	752964
891	6163414	746243
892	6171687	739496
893	6179594	732703
894	6187591	725918
895	6195751	719149
896	6204054	712394
897	6211923	705586
898	6218742	698657
899	6224738	691637
900	6230999	684649
901	6237167	677652
902	6243290	670652
903	6249635	663678
904	6255818	656688
905	6261951	649694
906	6267961	642690
907	6274118	635703
908	6280326	628723
909	6286627	621754
910	6293279	614820
911	6300476	607940
912	6306893	600985
913	6313619	594060
914	6320187	587121
915	6327536	580254
916	6334522	573353
917	6341205	566425
918	6347999	559508
919	6354739	552586
920	6361058	545628
921	6367377	538671
922	6373431	531694
923	6379645	524732
924	6385715	517760
925	6391896	510799
926	6398036	503836
927	6404238	496880
928	6410477	489928
929	6416910	482993
930	6423430	476065
931	6430032	469144
932	6436539	462216
933	6442861	455277
934	6449095	448332
935	6455456	441398
936	6462668	434523
937	6469631	427630
938	6476264	420715
939	6483729	413855
940	6491354	407003
941	6498571	400124
942	6506950	393315
943	6514874	386475
944	6521823	379577
945	6529376	372712
946	6537473	365877
947	6544380	358974
948	6550817	352046
949	6557451	345129
950	6564155	338216
951	6570803	331301
952	6577364	324382
953	6584049	317469
954	6590853	310563
955	6597421	303646
956	6603768	296721
957	6610104	289795
958	6616969	282894
959	6623935	275997
960	6630920	269100
961	6637956	262206
962	6644987	255311
963	6651983	248414
964	6660050	241556
965	6668108	234695
966	6675093	227795
967	6682043	220893
968	6688619	213980
969	6694785	207055
970	6701093	200135
971	6707171	193210
972	6713329	186289
973	6719413	179368
974	6725931	172459
975	6732171	165545
976	6738504	158634
977	6745006	151728
978	6751519	144823
979	6758078	137919
980	6764580	131016
981	6771334	124118
982	6777905	117217
983	6784332	110314
984	6790831	103413
985	6797280	96513
986	6803699	89613
987	6810279	82715
988	6816805	75818
989	6823169	68920
990	6829292	62021
991	6835476	55124
992	6842077	48232
993	6848332	41338
994	6854890	34446
995	6861038	27554
996	6867454	20664
997	6873595	13774
998	6879912	6886
999	6886146	0
